         11712202430 function calls (11424169438 primitive calls) in 43014.864 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1528987    5.320    0.000   83.100    0.000 function.py:1549(_set_function_spec)
 24465848   34.430    0.000   82.626    0.000 tpu.py:239(replace_with_unreplicated_resources)
 37332487   45.318    0.000   81.431    0.000 nest.py:203(_yield_sorted_items)
 54994580   70.572    0.000   81.016    0.000 dtypes.py:192(__eq__)
  5607230   27.091    0.000   80.976    0.000 ops.py:444(_c_api_shape)
 32121725   69.449    0.000   80.645    0.000 object_identity.py:174(__init__)
  1528858   25.797    0.000   80.206    0.000 numeric.py:2287(array_equal)
   509607    2.194    0.000   79.174    0.000 callbacks.py:274(set_model)
 55058535   32.916    0.000   79.084    0.000 dtypes.py:84(base_dtype)
  1528962   78.904    0.000   78.904    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextAddFunction}
  1528962   35.689    0.000   76.960    0.000 function.py:1562(_initialize_function_spec)
2554583/511672    8.833    0.000   76.938    0.000 training.py:322(__setattr__)
 12233218   50.838    0.000   76.754    0.000 lock_util.py:106(_another_group_active)
 37719633   43.606    0.000   76.669    0.000 compat.py:64(as_bytes)
 19098196   42.436    0.000   76.021    0.000 Hanabi.py:70(toarray)
  1019214    2.567    0.000   75.924    0.000 gen_dataset_ops.py:5498(repeat_dataset)
1529985/1529631   10.853    0.000   75.866    0.000 inspect.py:2183(_signature_from_callable)
   762891    3.245    0.000   75.412    0.000 Hanabi.py:271(<listcomp>)
  1528824    2.685    0.000   75.100    0.000 structure.py:210(from_compatible_tensor_list)
 12233596   60.150    0.000   74.813    0.000 ops.py:3052(_add_op)
100417455   51.419    0.000   74.306    0.000 compat.py:90(as_text)
 12233192   69.703    0.000   74.181    0.000 ops.py:6880(_reconstruct_sequence_inputs)
  2548065    4.308    0.000   72.427    0.000 structure.py:376(<lambda>)
  1528824   11.244    0.000   72.415    0.000 structure.py:175(_from_tensor_list_helper)
  2548065    6.038    0.000   71.787    0.000 type_spec.py:211(_to_tensor_list)
   269525    2.313    0.000   71.181    0.000 Experiment.py:39(availableActions)
 94247355   71.125    0.000   71.151    0.000 _weakrefset.py:70(__contains__)
  9173076    5.181    0.000   70.982    0.000 api.py:519(<genexpr>)
   509607    1.770    0.000   70.929    0.000 gen_dataset_ops.py:5296(range_dataset)
  8163541   21.713    0.000   70.880    0.000 ops.py:6385(name_scope)
  1528846    9.229    0.000   70.606    0.000 inspect_utils.py:82(isbuiltin)
 12233218   17.847    0.000   70.396    0.000 threading.py:357(notify_all)
 31131345   39.823    0.000   68.987    0.000 context.py:1851(executing_eagerly)
  4595441    5.833    0.000   68.770    0.000 constant_op.py:298(_constant_eager_impl)
 15800696   36.054    0.000   68.415    0.000 op_def_library.py:53(_SatisfiesTypeConstraint)
 12233352   20.508    0.000   68.304    0.000 errors_impl.py:264(__init__)
  1528851   14.236    0.000   68.178    0.000 api.py:244(decorator)
 10704630   29.405    0.000   68.143    0.000 ops.py:3848(_get_tensor_by_tf_output)
  7137096    8.893    0.000   67.274    0.000 ops.py:3886(as_default)
  1562769   12.326    0.000   66.150    0.000 tf_utils.py:531(_to_single_numpy_or_python_type)
 13252532   37.109    0.000   66.106    0.000 ops.py:4206(unique_name)
  7644230   13.339    0.000   65.800    0.000 api.py:343(_is_of_known_loaded_module)
  1529005    1.091    0.000   65.152    0.000 c_api_util.py:53(__del__)
   509607    1.745    0.000   64.927    0.000 gen_dataset_ops.py:3266(model_dataset)
  7137096   40.291    0.000   64.102    0.000 context.py:2001(graph_mode)
  1529005   64.061    0.000   64.061    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_DeleteGraph}
2561074/515833   14.171    0.000   63.772    0.000 base_layer.py:2756(__setattr__)
 12233540   63.589    0.000   63.589    0.000 c_api_util.py:190(tf_output)
  1529627   25.664    0.000   63.464    0.000 inspect.py:2102(_signature_from_function)
 21407639   41.920    0.000   63.115    0.000 base.py:577(_maybe_initialize_trackable)
  4595441   55.660    0.000   62.937    0.000 constant_op.py:70(convert_to_eager_tensor)
137605911   37.579    0.000   62.187    0.000 pickle.py:213(write)
  1012404    1.626    0.000   62.075    0.000 nest.py:1234(<listcomp>)
 18350327   15.283    0.000   61.765    0.000 ops.py:1925(<genexpr>)
  1012404    1.693    0.000   60.450    0.000 nest.py:1137(<lambda>)
  2548065    7.325    0.000   60.372    0.000 tensor_spec.py:155(_to_components)
 12235681   14.011    0.000   60.054    0.000 tensor_shape.py:1230(as_shape)
 15798017   15.397    0.000   59.958    0.000 structure.py:269(<lambda>)
 90178554   33.574    0.000   59.481    0.000 pickle.py:448(get)
   886276    4.644    0.000   59.182    0.000 iostream.py:382(write)
  3060292   10.509    0.000   59.046    0.000 nest.py:1379(flatten_with_tuple_paths)
   266207    3.070    0.000   58.293    0.000 Experiment.py:52(<listcomp>)
   509592    4.967    0.000   57.974    0.000 training.py:2667(concat)
  1529039    5.433    0.000   56.693    0.000 c_api_util.py:45(__init__)
  8155439   21.471    0.000   56.286    0.000 op_def_library.py:173(_MakeType)
 24465882   23.899    0.000   55.647    0.000 registry.py:82(lookup)
 63701010   37.932    0.000   55.499    0.000 options.py:74(get_fn)
   509607    1.430    0.000   55.458    0.000 gen_dataset_ops.py:5189(prefetch_dataset)
  2004664   49.492    0.000   55.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
4076856/3057642   18.624    0.000   53.285    0.000 options.py:37(__eq__)
  2548149    2.851    0.000   52.582    0.000 array_ops.py:1489(_autopacking_conversion_function)
103989666   51.264    0.000   52.385    0.000 enum.py:332(<genexpr>)
  3051564    5.760    0.000   52.139    0.000 Hanabi.py:219(<listcomp>)
   509975    2.696    0.000   52.115    0.000 resource_variable_ops.py:643(_read_variable_op)
  1529039   51.130    0.000   51.130    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_NewGraph}
 14350147   18.768    0.000   50.864    0.000 tensor_spec.py:87(__hash__)
   509607    2.674    0.000   50.718    0.000 gen_dataset_ops.py:106(anonymous_iterator_v2)
  1537991    5.216    0.000   50.559    0.000 type_spec.py:293(__eq__)
  3057978   34.390    0.000   50.507    0.000 function.py:2388(__init__)
  1528821    5.161    0.000   50.394    0.000 data_adapter.py:1011(_convert_numpy_and_scipy)
   511626    4.647    0.000   50.329    0.000 resource_variable_ops.py:830(_lazy_read)
  5096070    7.444    0.000   50.237    0.000 dataset_ops.py:537(_flat_types)
 17836465   21.599    0.000   49.939    0.000 type_spec.py:262(_flat_tensor_specs)
  2548149   23.376    0.000   49.728    0.000 array_ops.py:1479(_should_not_autopack)
 34815195   49.449    0.000   49.523    0.000 {built-in method builtins.sorted}
 12233596   21.433    0.000   49.437    0.000 ops.py:1995(_control_flow_post_processing)
 12233218   14.059    0.000   49.323    0.000 ops.py:5153(_mutation_lock)
10317925/7689967   11.403    0.000   49.237    0.000 type_spec.py:357(<listcomp>)
